"id","x","y"
"128",237,347
"128",239,346
"128",238,326
"128",241,339
"128",242,343
"128",245,345
"128",245,339
"128",243,327
"128",242,311
"128",251,319
"128",257,318
"128",258,315
"128",250,309
"128",245,303
"128",235,293
"128",230,298
"128",227,300
"128",222,299
"128",218,297
"129",100,429
"129",100,403
"129",99,398
"129",104,396
"129",111,396
"129",114,395
"129",121,397
"129",128,399
"129",133,401
"129",132,412
"129",130,423
"129",129,431
"129",128,435
"129",121,437
"129",114,436
"129",106,433
"129",100,429
"130",151,434
"130",147,412
"130",146,401
"130",158,397
"130",166,396
"130",168,395
"130",176,397
"130",179,399
"130",178,421
"130",179,429
"130",171,435
"130",164,436
"130",157,436
"130",151,434
"131",100,430
"131",97,448
"131",97,462
"131",100,481
"131",106,506
"131",112,502
"131",117,502
"131",124,502
"131",127,504
"131",129,486
"131",129,449
"131",129,446
"131",128,434
"131",123,436
"131",114,437
"131",106,434
"131",100,430
"132",151,503
"132",150,486
"132",150,449
"132",151,434
"132",156,436
"132",165,437
"132",172,434
"132",178,430
"132",181,436
"132",182,441
"132",182,462
"132",180,474
"132",177,490
"132",173,505
"132",166,502
"132",161,502
"132",153,503
"132",151,503
"133",105,506
"133",111,502
"133",124,503
"133",127,504
"133",127,526
"133",130,533
"133",129,536
"133",123,538
"133",115,538
"133",113,536
"133",108,515
"133",105,506
"134",149,535
"134",152,526
"134",151,504
"134",156,502
"134",167,502
"134",173,506
"134",167,533
"134",167,536
"134",163,538
"134",155,538
"134",149,535
"135",113,537
"135",111,541
"135",110,549
"135",106,557
"135",101,562
"135",101,563
"135",106,565
"135",109,567
"135",122,566
"135",129,568
"135",132,563
"135",129,555
"135",129,544
"135",131,536
"135",125,538
"135",119,538
"135",113,537
"136",149,536
"136",148,542
"136",150,557
"136",147,564
"136",150,568
"136",155,568
"136",158,566
"136",171,566
"136",174,564
"136",177,564
"136",178,562
"136",172,556
"136",168,548
"136",168,541
"136",167,536
"136",163,538
"136",160,538
"136",149,536
