"id","x","y"
"212",129,216
"212",129,154
"212",106,154
"212",96,153
"212",88,153
"212",90,159
"212",89,179
"212",88,185
"212",93,204
"212",95,214
"212",110,216
"212",129,216
"213",171,153
"213",156,155
"213",130,155
"213",130,216
"213",147,216
"213",157,215
"213",164,214
"213",166,201
"213",169,191
"213",170,186
"213",169,175
"213",169,172
"213",169,159
"213",171,153
"214",196,198
"214",196,190
"214",193,168
"214",192,161
"214",189,160
"214",182,156
"214",174,150
"214",171,153
"214",169,160
"214",169,173
"214",170,186
"214",174,200
"214",179,197
"214",182,196
"214",190,196
"214",193,198
"214",196,198
"215",57,213
"215",58,210
"215",60,207
"215",61,206
"215",62,198
"215",64,198
"215",65,197
"215",68,197
"215",69,195
"215",77,196
"215",80,198
"215",83,200
"215",83,216
"215",78,217
"215",65,217
"215",57,213
"216",201,213
"216",202,211
"216",197,207
"216",197,199
"216",192,197
"216",189,196
"216",182,196
"216",174,200
"216",174,213
"216",176,216
"216",179,217
"216",194,218
"216",198,215
"216",201,213
"217",44,265
"217",50,233
"217",54,221
"217",56,214
"217",63,217
"217",78,217
"217",83,216
"217",82,222
"217",78,232
"217",74,244
"217",68,257
"217",62,271
"217",55,266
"217",48,265
"217",44,265
"218",88,240
"218",95,221
"218",95,215
"218",109,217
"218",129,217
"218",129,255
"218",111,254
"218",102,252
"218",97,251
"218",93,245
"218",88,240
"219",171,239
"219",166,245
"219",163,251
"219",144,254
"219",135,255
"219",130,255
"219",130,217
"219",149,217
"219",158,216
"219",159,214
"219",164,215
"219",165,223
"219",171,239
"220",175,216
"220",178,224
"220",184,241
"220",191,258
"220",197,271
"220",202,267
"220",207,266
"220",215,265
"220",210,241
"220",205,222
"220",202,215
"220",202,214
"220",194,217
"220",181,217
"220",175,216
"221",37,285
"221",41,272
"221",43,266
"221",53,266
"221",57,267
"221",62,272
"221",56,282
"221",54,290
"221",51,292
"221",44,291
"221",40,288
"221",37,285
"222",77,298
"222",77,275
"222",78,265
"222",82,255
"222",86,245
"222",88,240
"222",94,245
"222",96,251
"222",97,256
"222",98,263
"222",96,269
"222",93,277
"222",89,283
"222",85,289
"222",81,294
"222",77,298
"223",78,299
"223",91,303
"223",105,308
"223",124,307
"223",128,305
"223",129,303
"223",130,256
"223",118,254
"223",111,253
"223",102,252
"223",99,251
"223",96,251
"223",97,256
"223",97,265
"223",95,271
"223",92,279
"223",88,285
"223",84,291
"223",78,299
"224",163,250
"224",162,254
"224",161,268
"224",165,275
"224",170,284
"224",174,291
"224",182,299
"224",167,304
"224",154,307
"224",148,309
"224",138,308
"224",131,306
"224",130,304
"224",130,256
"224",136,255
"224",149,253
"224",158,251
"224",161,250
"224",163,250
"225",170,240
"225",175,250
"225",178,260
"225",181,271
"225",182,282
"225",182,299
"225",178,295
"225",173,289
"225",168,280
"225",164,272
"225",162,267
"225",162,253
"225",164,249
"225",166,244
"225",170,240
"226",205,290
"226",197,272
"226",201,269
"226",204,267
"226",207,266
"226",216,266
"226",220,283
"226",220,285
"226",219,288
"226",216,290
"226",215,292
"226",208,291
"226",205,290
"227",27,296
"227",38,286
"227",44,291
"227",52,291
"227",54,290
"227",54,306
"227",52,311
"227",53,329
"227",51,331
"227",51,334
"227",50,335
"227",49,333
"227",48,319
"227",46,326
"227",45,331
"227",42,337
"227",41,339
"227",41,339
"227",40,339
"227",38,337
"227",36,338
"227",34,336
"227",35,324
"227",33,328
"227",31,333
"227",30,335
"227",27,336
"227",28,331
"227",31,318
"227",31,310
"227",31,303
"227",29,305
"227",25,309
"227",22,310
"227",17,310
"227",17,307
"227",19,305
"227",23,303
"227",24,299
"227",27,296
"228",123,390
"228",112,386
"228",95,386
"228",91,387
"228",86,362
"228",82,344
"228",79,326
"228",77,308
"228",77,298
"228",90,304
"228",101,307
"228",105,308
"228",124,308
"228",128,305
"228",127,326
"228",125,342
"228",126,371
"228",123,390
"229",135,389
"229",134,379
"229",133,339
"229",132,318
"229",131,306
"229",131,305
"229",138,308
"229",150,309
"229",163,306
"229",171,303
"229",179,300
"229",182,300
"229",182,315
"229",179,332
"229",176,346
"229",173,361
"229",171,373
"229",168,387
"229",161,386
"229",155,385
"229",144,387
"229",135,389
"230",204,290
"230",203,301
"230",206,316
"230",207,332
"230",208,334
"230",210,334
"230",211,319
"230",214,329
"230",217,338
"230",219,338
"230",221,337
"230",222,338
"230",224,338
"230",223,319
"230",226,329
"230",230,335
"230",231,332
"230",228,317
"230",228,304
"230",233,307
"230",237,310
"230",241,310
"230",243,308
"230",240,306
"230",235,301
"230",231,294
"230",221,285
"230",218,289
"230",214,291
"230",207,292
"230",204,290
"231",92,418
"231",93,409
"231",93,396
"231",91,387
"231",96,385
"231",104,386
"231",113,386
"231",123,390
"231",121,400
"231",120,411
"231",118,422
"231",112,424
"231",106,424
"231",97,420
"231",92,418
"232",140,423
"232",138,410
"232",136,398
"232",135,389
"232",143,388
"232",149,386
"232",163,386
"232",167,388
"232",167,393
"232",166,415
"232",168,418
"232",159,422
"232",151,424
"232",147,424
"232",140,423
"233",97,491
"233",91,468
"233",89,454
"233",88,430
"233",90,422
"233",91,418
"233",94,419
"233",102,423
"233",115,424
"233",118,422
"233",119,432
"233",120,446
"233",120,448
"233",120,463
"233",119,476
"233",118,489
"233",113,488
"233",104,487
"233",97,491
"234",140,488
"234",139,469
"234",138,440
"234",139,437
"234",140,423
"234",147,424
"234",154,424
"234",161,420
"234",167,417
"234",170,428
"234",170,435
"234",170,450
"234",167,467
"234",163,483
"234",162,491
"234",157,489
"234",153,488
"234",146,488
"234",140,488
"235",103,520
"235",102,517
"235",100,504
"235",97,491
"235",101,489
"235",103,487
"235",113,487
"235",118,490
"235",117,509
"235",119,515
"235",120,519
"235",116,521
"235",112,523
"235",108,522
"235",103,520
"236",138,520
"236",140,513
"236",140,511
"236",141,489
"236",145,488
"236",145,487
"236",154,487
"236",159,490
"236",162,491
"236",159,502
"236",157,513
"236",155,516
"236",155,519
"236",151,522
"236",147,523
"236",138,520
"237",104,520
"237",102,522
"237",102,526
"237",101,532
"237",99,537
"237",96,542
"237",93,545
"237",93,548
"237",97,548
"237",99,550
"237",112,550
"237",115,551
"237",118,552
"237",121,549
"237",122,547
"237",121,543
"237",119,539
"237",119,528
"237",121,526
"237",120,520
"237",114,522
"237",107,523
"237",104,520
"238",139,521
"238",139,529
"238",140,537
"238",138,542
"238",137,545
"238",137,549
"238",140,551
"238",144,552
"238",147,549
"238",159,550
"238",162,547
"238",166,547
"238",167,545
"238",163,543
"238",160,539
"238",156,529
"238",156,524
"238",155,523
"238",155,521
"238",152,522
"238",145,522
"238",139,521
